Exchange Date,Close,Net
2024-04-22,1067.81,5.07999999999993
2024-04-19,1062.73,-15.1600000000001
2024-04-18,1077.89,3.02000000000021
2024-04-17,1074.87,3.80999999999995
2024-04-16,1071.06,-20.72
2024-04-12,1103.61,-13.0900000000001
2024-04-11,1116.7,-3.08999999999992
2024-04-10,1119.79,2.21000000000004
2024-04-09,1117.58,10.0699999999999
2024-04-08,1107.51,4.82999999999993
2024-04-05,1102.68,-1.06999999999994
2024-04-04,1103.75,4.70000000000005
2024-04-03,1099.05,-6.03999999999996
2024-04-02,1105.09,9.43999999999983
2024-04-01,1095.65,-0.949999999999818
2024-03-29,1096.6,2.68999999999983
2024-03-28,1093.91,4.19000000000005
2024-03-27,1089.72,-1.79999999999995
2024-03-26,1091.52,1.23000000000002
2024-03-25,1090.29,-1.6400000000001
2024-03-22,1091.93,-8.57999999999993
2024-03-21,1100.51,14.78
2024-03-20,1085.73,0.779999999999973
2024-03-19,1084.95,-9.62999999999988
2024-03-18,1094.58,1.84999999999991
2024-03-14,1105.46,1.87000000000012
2024-03-13,1103.59,-3.81000000000017
2024-03-12,1107.4,8.74000000000001
2024-03-11,1098.66,1.01999999999998
2024-03-08,1097.64,6.83000000000015
2024-03-07,1090.81,3.34999999999991
2024-03-06,1087.46,8.36000000000013
2024-03-05,1079.1,-6.82000000000016
2024-03-04,1085.92,6.30000000000018
2024-03-01,1079.62,3.76999999999998
2024-02-29,1075.85,2.30999999999995
2024-02-28,1073.54,-10.77
2024-02-27,1084.31,5.39999999999986
2024-02-26,1078.91,-3.00999999999999
2024-02-23,1081.92,-0.929999999999836
2024-02-22,1082.85,8.40999999999985
2024-02-21,1074.44,2.09000000000015
2024-02-20,1072.35,5.7199999999998
2024-02-19,1066.63,-1.58999999999992
2024-02-16,1068.22,8.41000000000008
2024-02-14,1046.75,4.51999999999998
2024-02-13,1042.23,-1.21000000000004
2024-02-12,1043.44,0.289999999999964
2024-02-09,1043.15,-2.93999999999983
2024-02-08,1046.09,-5.97000000000003
2024-02-07,1052.06,0.710000000000036
2024-02-06,1051.35,17.6599999999999
2024-02-05,1033.69,-3.05999999999995
2024-02-02,1036.75,1.00999999999999
2024-02-01,1035.74,4.82999999999993
2024-01-31,1030.91,-3.48000000000002
2024-01-30,1034.39,-9.67999999999984
2024-01-29,1044.07,6.59999999999991
2024-01-26,1037.47,-2.91000000000008
2024-01-25,1040.38,6.81000000000017
2024-01-24,1033.57,14.7199999999999
2024-01-23,1018.85,3.68000000000006
2024-01-22,1015.17,-6.5
2024-01-19,1021.67,12.02
2024-01-18,1009.65,2.70999999999992
2024-01-17,1006.94,-19.6699999999998
2024-01-16,1026.61,-15.3800000000001
2024-01-15,1041.99,-0.879999999999882
2024-01-12,1042.87,3.36999999999989
2024-01-11,1039.5,5.3900000000001
2024-01-10,1034.11,-1.90000000000009
2024-01-09,1036.01,-2.96000000000004
2024-01-08,1038.97,-5.00999999999999
2024-01-05,1043.98,-0.539999999999964
2024-01-04,1044.52,3.75
2024-01-03,1040.77,-13.02
2024-01-02,1053.79,-10.0900000000001
2024-01-01,1065.85,1.15
2023-12-29,1063.88,1.1400000000001
2023-12-28,1062.74,11.99
2023-12-27,1050.75,12.51
2023-12-26,1038.24,5.19000000000005
2023-12-25,1033.05,0.639999999999873
2023-12-22,1032.41,-2.37999999999988
2023-12-21,1034.79,1.78999999999996
2023-12-20,1033.0,-4.6099999999999
2023-12-19,1037.61,1.55999999999995
2023-12-18,1036.05,-4.47000000000003
2023-12-15,1040.52,7.69000000000005
2023-12-14,1032.83,21.3199999999999
2023-12-13,1011.51,-0.180000000000064
2023-12-12,1011.69,1.92000000000007
2023-12-11,1009.77,-2.97000000000003
2023-12-08,1012.74,1.00999999999999
2023-12-07,1011.73,-3.85000000000002
2023-12-06,1015.58,3.50999999999999
2023-12-05,1012.07,-6.81999999999994
2023-12-04,1018.89,-4.03999999999996
2023-12-01,1022.93,-1.13
2023-11-30,1024.06,1.80999999999995
2023-11-29,1022.25,-3.03999999999996
2023-11-28,1025.29,6.15999999999997
2023-11-27,1019.13,-3.40999999999997
2023-11-24,1022.54,-6.03999999999996
2023-11-23,1028.58,4.8599999999999
2023-11-22,1023.72,-4.61999999999989
2023-11-21,1028.34,2.68999999999983
2023-11-20,1025.65,6.96000000000004
2023-11-17,1018.69,-2.94999999999993
2023-11-16,1021.64,-3.5100000000001
2023-11-15,1025.15,22.3800000000001
2023-11-14,1002.77,7.19999999999993
2023-11-13,995.57,5.70000000000005
2023-11-10,989.87,-8.39999999999998
2023-11-09,998.27,-2.27999999999997
2023-11-08,1000.55,-0.430000000000064
2023-11-07,1000.98,-5.99000000000001
2023-11-06,1006.97,12.76
2023-11-03,994.21,16.99
2023-11-02,977.22,15.59
2023-11-01,961.63,-0.32000000000005
2023-10-31,961.95,-5.62
2023-10-30,967.57,1.59000000000003
2023-10-27,965.98,9.08000000000004
2023-10-26,956.9,-8.06000000000006
2023-10-25,964.96,1.63
2023-10-24,963.33,0.509999999999991
2023-10-23,962.82,-7.62
2023-10-20,970.44,-4.44999999999993
2023-10-19,974.89,-9.38
2023-10-18,984.27,-10.78
2023-10-17,995.05,3.82999999999993
2023-10-16,991.22,-4.55999999999995
2023-10-13,995.78,-9.77999999999997
2023-10-12,1005.56,5.57999999999993
2023-10-11,999.98,12.87
2023-10-10,987.11,12.0700000000001
2023-10-09,975.04,-2.60000000000002
2023-10-06,977.64,6.92999999999995
2023-10-05,970.71,1.63999999999999
2023-10-04,969.07,-9.15999999999997
2023-10-03,978.23,-15.48
2023-10-02,993.71,-1.78999999999996
2023-09-29,995.5,10.0
2023-09-28,985.5,-5.33000000000004
2023-09-27,990.83,0.780000000000086
2023-09-26,990.05,-9.5200000000001
2023-09-25,999.57,-6.41999999999996
2023-09-22,1005.99,7.43000000000006
2023-09-21,998.56,-13.4100000000001
2023-09-20,1011.97,-3.67999999999995
2023-09-19,1015.65,0.0199999999999818
2023-09-18,1015.63,-8.39999999999998
2023-09-15,1024.03,2.12
2023-09-14,1021.91,6.75
2023-09-13,1015.16,-0.790000000000077
2023-09-12,1015.95,-1.55999999999995
2023-09-11,1017.51,4.22000000000003
2023-09-08,1013.29,0.819999999999936
2023-09-07,1012.47,-7.44999999999993
2023-09-06,1019.92,-3.78000000000009
2023-09-05,1023.7,-10.6299999999999
2023-09-04,1034.33,11.3799999999999
2023-09-01,1022.95,4.10000000000002
2023-08-31,1018.85,-9.59000000000003
2023-08-30,1028.44,-0.0699999999999363
2023-08-29,1028.51,9.79999999999995
2023-08-28,1018.71,7.10000000000002
2023-08-25,1011.61,-11.97
2023-08-24,1023.58,10.7900000000001
2023-08-23,1012.79,5.71999999999991
2023-08-22,1007.07,7.81000000000006
2023-08-21,999.26,-5.06000000000006
2023-08-18,1004.32,-10.3599999999999
2023-08-17,1014.68,-1.55000000000007
2023-08-16,1016.23,-3.75999999999999
2023-08-15,1019.99,-4.93000000000006
2023-08-14,1024.92,-12.4299999999998
2023-08-11,1037.35,-10.6700000000001
2023-08-10,1048.02,1.21000000000004
2023-08-09,1046.81,4.48000000000002
2023-08-08,1042.33,-12.6500000000001
2023-08-07,1054.98,-0.740000000000009
2023-08-04,1055.72,4.87000000000012
2023-08-03,1050.85,-5.00999999999999
2023-08-02,1055.86,-22.72
2023-08-01,1078.58,-5.82000000000016
2023-07-31,1084.4,4.11000000000013
2023-07-28,1080.29,8.81999999999994
2023-07-27,1071.47,4.56999999999994
2023-07-26,1066.9,1.51999999999998
2023-07-25,1065.38,21.2800000000002
2023-07-24,1044.1,-3.45000000000005
2023-07-21,1047.55,-3.70000000000005
2023-07-20,1051.25,-1.06999999999994
2023-07-19,1052.32,-3.31000000000017
2023-07-18,1055.63,-6.23999999999978
2023-07-17,1061.87,-0.420000000000073
2023-07-14,1062.29,6.74000000000001
2023-07-13,1055.55,15.03
2023-07-12,1040.52,11.1199999999999
2023-07-11,1029.4,12.1300000000001
2023-07-10,1017.27,1.18999999999994
2023-07-07,1016.08,-3.59999999999991
2023-07-06,1019.68,-18.8200000000001
2023-07-05,1038.5,-7.44000000000005
2023-07-04,1045.94,2.85000000000014
2023-07-03,1043.09,15.3499999999999
2023-06-30,1027.74,3.19000000000005
2023-06-29,1024.55,-4.25999999999999
2023-06-28,1028.81,-1.25999999999999
2023-06-27,1030.07,6.12999999999988
2023-06-26,1023.94,-3.33999999999992
2023-06-23,1027.28,-9.21000000000004
2023-06-22,1036.49,-4.34999999999991
2023-06-21,1040.84,-7.88000000000011
2023-06-20,1048.72,-11.8199999999999
2023-06-19,1060.54,-5.19000000000005
2023-06-16,1065.73,5.75999999999999
2023-06-15,1059.97,10.76
2023-06-14,1049.21,3.5
2023-06-13,1045.71,9.27999999999997
2023-06-12,1036.43,1.57000000000016
2023-06-09,1034.86,6.61999999999989
2023-06-08,1028.24,-1.49000000000001
2023-06-07,1029.73,9.05000000000007
2023-06-06,1020.68,2.12
2023-06-05,1018.56,3.1099999999999
2023-06-02,1015.45,23.5500000000001
2023-06-01,991.9,3.75999999999999
2023-05-31,988.14,-12.01
2023-05-30,1000.15,-2.88
2023-05-29,1003.03,-1.27999999999997
2023-05-26,1004.31,8.05999999999995
2023-05-25,996.25,-7.16999999999996
2023-05-24,1003.42,-7.5
2023-05-23,1010.92,-6.28000000000009
2023-05-22,1017.2,5.53000000000009
2023-05-19,1011.67,-3.70000000000005
2023-05-18,1015.37,1.71000000000004
2023-05-17,1013.66,-6.20000000000005
2023-05-16,1019.86,1.77999999999997
2023-05-15,1018.08,5.78000000000009
2023-05-12,1012.3,-4.43000000000006
2023-05-11,1016.73,-2.5
2023-05-10,1019.23,-2.02999999999997
2023-05-09,1021.26,-8.98000000000002
2023-05-08,1030.24,8.58000000000004
2023-05-05,1021.66,5.62
2023-05-04,1016.04,6.63999999999999
2023-05-03,1009.4,-3.37
2023-05-02,1012.77,-3.47000000000003
2023-05-01,1016.24,-0.340000000000032
2023-04-28,1016.58,4.96000000000004
2023-04-27,1011.62,4.23000000000002
2023-04-26,1007.39,3.86000000000001
2023-04-25,1003.53,-12.1
2023-04-24,1015.63,-1.61000000000001
2023-04-21,1017.24,-8.81999999999994
2023-04-20,1026.06,-0.3900000000001
2023-04-19,1026.45,-11.0699999999999
2023-04-18,1037.52,-3.49000000000001
2023-04-17,1041.01,4.17000000000007
2023-04-14,1036.84,3.0
2023-04-13,1033.84,2.80999999999995
2023-04-12,1031.03,-2.97000000000003
2023-04-11,1034.0,7.68000000000006
2023-04-10,1026.32,0.6099999999999
2023-04-07,1025.71,0.319999999999936
2023-04-06,1025.39,-0.579999999999927
2023-04-05,1025.97,-0.910000000000082
2023-04-04,1026.88,-1.66999999999985
2023-04-03,1028.55,0.519999999999982
2023-03-31,1028.03,3.03999999999996
2023-03-30,1024.99,4.64999999999998
2023-03-29,1020.34,10.5300000000001
2023-03-28,1009.81,7.01999999999998
2023-03-27,1002.79,-9.35000000000002
2023-03-24,1012.14,-4.08000000000004
2023-03-23,1016.22,15.1600000000001
2023-03-22,1001.06,9.44999999999993
2023-03-21,991.61,11.25
2023-03-20,980.36,-8.75
2023-03-17,989.11,9.50999999999999
2023-03-16,979.6,-5.63999999999999
2023-03-15,985.24,-0.0199999999999818
2023-03-14,985.26,-15.47
2023-03-13,1000.73,3.88
2023-03-10,996.85,-13.9499999999999
2023-03-09,1010.8,-10.1800000000001
2023-03-08,1020.98,-8.50999999999999
2023-03-07,1029.49,-5.0
2023-03-06,1034.49,3.48000000000002
2023-03-03,1031.01,8.26999999999998
2023-03-02,1022.74,-5.95000000000005
2023-03-01,1028.69,24.5200000000001
2023-02-28,1004.17,-4.60000000000002
2023-02-27,1008.77,-2.96000000000004
2023-02-24,1011.73,-17.03
2023-02-23,1028.76,4.79999999999995
2023-02-22,1023.96,-12.0
2023-02-21,1035.96,-10.78
2023-02-20,1046.74,5.42000000000007
2023-02-17,1041.32,-10.3700000000001
2023-02-16,1051.69,4.94000000000005
2023-02-15,1046.75,-8.90000000000009
2023-02-14,1055.65,-0.269999999999982
2023-02-13,1055.92,2.20000000000005
2023-02-10,1053.72,-11.4100000000001
2023-02-09,1065.13,4.15000000000009
2023-02-08,1060.98,4.93000000000006
2023-02-07,1056.05,0.669999999999845
2023-02-06,1055.38,-22.75
2023-02-03,1078.13,-8.06999999999994
2023-02-02,1086.2,0.910000000000082
2023-02-01,1085.29,10.8
2023-01-31,1074.49,-10.99
2023-01-30,1085.48,-5.75999999999999
2023-01-27,1091.24,-2.58999999999992
2023-01-26,1093.83,10.6999999999998
2023-01-25,1083.13,-0.409999999999854
2023-01-24,1083.54,0.519999999999982
2023-01-23,1083.02,2.44000000000005
2023-01-20,1080.58,8.66999999999985
2023-01-19,1071.91,-4.16999999999985
2023-01-18,1076.08,4.99000000000001
2023-01-17,1071.09,-2.47000000000003
2023-01-16,1073.56,-1.25999999999999
2023-01-13,1074.82,11.71
2023-01-12,1063.11,1.59999999999991
2023-01-11,1061.51,3.91000000000008
2023-01-10,1057.6,1.18999999999983
2023-01-09,1056.41,23.4100000000001
